Возраст;Работа;Семейный статус;Образование;Кредитный дефолт;Ипотека;Займ;Контакт;Месяц;День недели;Длительность;Кампания;День;Предыдущий контакт;Доходность;Колебание уровня безработицы;Индекс потребительских цен;Индекс потребительской уверенности;Европейская межбанковская ставка;Количество сотрудников в компании;y
27;Самозанятый;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Городской телефон;Октябрь;Пятница;24;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Нет
30;Преддприниматель;Женат / замужем;Университетская степень;Нет;Нет;Нет;Городской телефон;Октябрь;Пятница;223;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Да
39;Голубой воротничок;Женат / замужем;Базовое (9 классов);Нет;Нет;Нет;Городской телефон;Октябрь;Пятница;270;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Да
42;Менеджер;Женат / замужем;Высшая школа;Нет;Да;Да;Городской телефон;Октябрь;Пятница;103;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Да
42;Самозанятый;Женат / замужем;Базовое (4 класса);Нет;Нет;Нет;Городской телефон;Октябрь;Пятница;478;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Да
43;Техник;Не женат / не замужем;Профессиональный курс;Нет;Нет;Нет;Городской телефон;Октябрь;Пятница;147;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Нет
44;Менеджер;Женат / замужем;Высшая школа;Нет;Да;Нет;Городской телефон;Октябрь;Пятница;159;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Нет
46;Менеджер;Разведен(-а);Высшая школа;Нет;Да;Нет;Городской телефон;Октябрь;Пятница;3253;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Нет
56;Неизвестно;Женат / замужем;Неизвестно;Нет;Нет;Нет;Городской телефон;Октябрь;Пятница;235;1;999;0;Отсутствует;-0.1;93.798;-40.4;5.045;5195.8;Да
29;Техник;Не женат / не замужем;Профессиональный курс;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;165;2;999;0;Отсутствует;1.4;93.444;-36.1;4.97;5228.1;Нет
