,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,age_group,has_child,child_jitter
0,39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174.0,0.0,40,United-States,<=50K,37-41,Без детей,0.219889628523367
1,50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,13,United-States,<=50K,47-51,Без детей,0.3581714335383799
2,38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.3056785460347372
3,53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40,United-States,<=50K,52-56,Без детей,0.2736780362072888
4,28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,40,Cuba,<=50K,27-31,Без детей,0.16744447370618476
5,37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.16743868488068864
6,49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0.0,0.0,16,Jamaica,<=50K,47-51,Без детей,0.14394006692036787
7,52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45,United-States,>50K,52-56,Без детей,0.33788227498598444
8,31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084.0,0.0,50,United-States,>50K,27-31,Без детей,0.27426760281837015
10,37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,80,United-States,>50K,37-41,Без детей,0.29993741867105095
11,30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,India,>50K,27-31,Без детей,0.1349402786309926
15,34,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,45,Mexico,<=50K,32-36,Без детей,0.3627783645188786
16,25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,35,United-States,<=50K,22-26,С детьми,0.8297862337921011
17,32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.18096138656278626
18,38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,<=50K,37-41,Без детей,0.17363799212970416
19,43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45,United-States,>50K,42-46,Без детей,0.1740170823648241
20,40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60,United-States,>50K,37-41,Без детей,0.20301813831028906
21,54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,20,United-States,<=50K,52-56,Без детей,0.25594154359173704
22,35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.2336668044741078
23,43,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2042.0,40,United-States,<=50K,42-46,Без детей,0.19989499364753005
24,59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,57-61,Без детей,0.27684469473337103
26,19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,17-21,С детьми,0.66347852655649
28,39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,80,United-States,<=50K,37-41,Без детей,0.20011471564845235
29,49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,47-51,Без детей,0.21792684239048601
30,23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,52,United-States,<=50K,22-26,Без детей,0.23945679621208862
31,20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0.0,0.0,44,United-States,<=50K,17-21,С детьми,0.8184422307343233
32,45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0.0,1408.0,40,United-States,<=50K,42-46,С детьми,0.6779217077180063
33,30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0.0,0.0,40,United-States,<=50K,27-31,С детьми,0.7534162652192667
34,22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,15,United-States,<=50K,22-26,Без детей,0.2721794965268902
35,48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40,Puerto-Rico,<=50K,47-51,Без детей,0.14114809905279946
37,19,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25,United-States,<=50K,17-21,Без детей,0.2758107644563452
39,48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,<=50K,47-51,Без детей,0.17092578968494998
41,53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,<=50K,52-56,Без детей,0.1456123823164671
42,24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50,United-States,<=50K,22-26,Без детей,0.3577325289408
43,49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,47-51,Без детей,0.36175168793789425
45,57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40,United-States,>50K,57-61,Без детей,0.3240153635479507
46,53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38,United-States,<=50K,52-56,Без детей,0.20310730460160897
47,44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K,42-46,Без детей,0.15344130736153214
48,41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,37-41,Без детей,0.29421592636291766
50,25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0.0,0.0,40,United-States,<=50K,22-26,Без детей,0.23563659849750432
52,47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1902.0,60,Honduras,>50K,47-51,Без детей,0.15928917636274692
54,47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,60,United-States,<=50K,47-51,Без детей,0.24884245842670483
55,43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40,United-States,>50K,42-46,Без детей,0.1382532450676524
57,35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40,Puerto-Rico,<=50K,32-36,Без детей,0.34823689649890766
58,41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48,United-States,<=50K,37-41,Без детей,0.19210719558400408
59,30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013.0,0.0,40,United-States,<=50K,27-31,Без детей,0.28900534824495566
60,30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407.0,0.0,40,United-States,<=50K,27-31,Без детей,0.2048106582614586
62,48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K,47-51,Без детей,0.2548163250826746
63,42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,>50K,42-46,Без детей,0.26121046704238715
64,29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,58,United-States,<=50K,27-31,Без детей,0.1743650693261265
65,36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,<=50K,32-36,Без детей,0.36270031066349406
66,28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K,27-31,Без детей,0.3160318776066675
67,53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40,United-States,>50K,52-56,Без детей,0.3554797459754054
